id;regime;year;lat;lon;TOTAL_SOIL_c;NBP_pool_c;NPP;HARVEST_FOREST_c;TOTAL_BM_LITTER_c;AREA
52.5_11.5;BAUpN;2050;52.5;11.5;7391.5517578125;7.267826784840281e-09;10.655614852905273;4271959040.0;0.09063087403774261;1
52.5_12.5;initial_state;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
52.5_12.5;BAU;2050;52.5;12.5;6602.59130859375;2.935817811078323e-08;11.8512601852417;0.0;0.010928763076663017;1
52.5_12.5;BAUnDIACUT;2050;52.5;12.5;6571.1875;2.233757001590675e-08;11.836581230163574;6178274304.0;0.17208746075630188;1
52.5_12.5;BAUpDIACUT;2050;52.5;12.5;6482.45068359375;-4.270679809792455e-09;11.87503433227539;11187761152.0;0.17219917476177216;1
52.5_12.5;BAUpTHININT;2050;52.5;12.5;6639.1904296875;2.9942583523734356e-08;12.031184196472168;0.0;0.01081125158816576;1
52.5_12.5;BAUnTHININT;2050;52.5;12.5;6610.9111328125;1.356234502480902e-08;11.794062614440918;7975837696.0;0.06466195732355118;1
52.5_12.5;BAUppRESIDUAL;2050;52.5;12.5;6596.98291015625;2.7867613994203566e-08;11.899259567260742;0.0;0.010947618633508682;1
52.5_12.5;BAUpRESIDUAL;2050;52.5;12.5;6596.7734375;2.7294802862343204e-08;11.865427017211914;0.0;0.010877465829253197;1
52.5_12.5;BAUpN;2050;52.5;12.5;6602.0673828125;2.765517947977969e-08;11.895501136779785;0.0;0.010929690673947334;1
52.5_13.5;initial_state;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
52.5_13.5;BAU;2050;52.5;13.5;7702.5068359375;3.1842429137896033e-08;13.296140670776367;9428861952.0;0.14360111951828003;1
52.5_13.5;BAUnDIACUT;2050;52.5;13.5;7717.8193359375;2.516247477046818e-08;13.002582550048828;861018688.0;0.13781839609146118;1
52.5_13.5;BAUpDIACUT;2050;52.5;13.5;7499.6875;8.02771715768813e-09;12.849603652954102;4321675776.0;0.12027611583471298;1
52.5_13.5;BAUpTHININT;2050;52.5;13.5;7761.28369140625;1.9568972220440628e-08;13.378218650817871;12272933888.0;0.13692423701286316;1
52.5_13.5;BAUnTHININT;2050;52.5;13.5;7750.12255859375;2.3772880552996867e-08;13.236135482788086;7598886400.0;0.09800928831100464;1
52.5_13.5;BAUppRESIDUAL;2050;52.5;13.5;7717.8671875;3.550174554334262e-08;13.18298053741455;140832192.0;0.05714302510023117;1
52.5_13.5;BAUpRESIDUAL;2050;52.5;13.5;7698.98974609375;4.3474067012994055e-08;13.273248672485352;144790224.0;0.05776797607541084;1
52.5_13.5;BAUpN;2050;52.5;13.5;7704.6328125;3.1914840548097345e-08;13.305774688720703;9479503872.0;0.14567306637763977;1
52.5_14.5;initial_state;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
52.5_14.5;BAU;2050;52.5;14.5;7098.9560546875;2.65734350080038e-08;11.180326461791992;85599152.0;0.05930434539914131;1
52.5_14.5;BAUnDIACUT;2050;52.5;14.5;7091.93505859375;1.87400353013345e-08;10.9236421585083;5701719552.0;0.19825521111488342;1
52.5_14.5;BAUpDIACUT;2050;52.5;14.5;6923.9755859375;1.4403495285364443e-08;11.335248947143555;4243677952.0;0.04671318829059601;1
52.5_14.5;BAUpTHININT;2050;52.5;14.5;7153.5927734375;3.122685754419763e-08;11.341928482055664;0.0;0.00895068421959877;1
52.5_14.5;BAUnTHININT;2050;52.5;14.5;7102.26171875;2.6257300334009415e-08;11.211405754089355;2326115584.0;0.08017958700656891;1
52.5_14.5;BAUppRESIDUAL;2050;52.5;14.5;7103.3916015625;2.549275102126103e-08;11.146206855773926;290494912.0;0.0944325178861618;1
52.5_14.5;BAUpRESIDUAL;2050;52.5;14.5;7089.12109375;1.913736547010103e-08;11.087146759033203;5700989952.0;0.11406751722097397;1
52.5_14.5;BAUpN;2050;52.5;14.5;7098.02197265625;1.9377676352405615e-08;11.100043296813965;4918106112.0;0.12716013193130493;1
52.5_15.5;initial_state;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
52.5_15.5;BAU;2050;52.5;15.5;4764.2021484375;4.26911874740199e-08;11.063586235046387;3446681600.0;0.06519563496112823;1
52.5_15.5;BAUnDIACUT;2050;52.5;15.5;4757.7783203125;3.7363900418085905e-08;11.085554122924805;3603227392.0;0.10899396240711212;1
52.5_15.5;BAUpDIACUT;2050;52.5;15.5;4660.78369140625;-8.089093839203088e-09;11.072467803955078;15232776192.0;0.46744585037231445;1
52.5_15.5;BAUpTHININT;2050;52.5;15.5;4798.7265625;3.10036227801902e-08;11.217423439025879;7839514624.0;0.21822138130664825;1
52.5_15.5;BAUnTHININT;2050;52.5;15.5;4777.84521484375;4.232180828012133e-08;11.095251083374023;1588334208.0;0.06208540126681328;1
52.5_15.5;BAUppRESIDUAL;2050;52.5;15.5;4760.8427734375;3.963501171710959e-08;11.009544372558594;4887202816.0;0.09925130009651184;1
52.5_15.5;BAUpRESIDUAL;2050;52.5;15.5;4755.9677734375;3.179895102789487e-08;10.999581336975098;10386231296.0;0.14145609736442566;1
52.5_15.5;BAUpN;2050;52.5;15.5;4766.8134765625;4.7300780181558366e-08;11.061132431030273;0.0;0.01108434610068798;1
52.5_16.5;initial_state;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
52.5_16.5;BAU;2050;52.5;16.5;5863.67724609375;8.446471078116247e-09;11.625943183898926;7824689152.0;0.2326798439025879;1
52.5_16.5;BAUnDIACUT;2050;52.5;16.5;5793.384765625;-1.2279567584982942e-08;11.657102584838867;22768263168.0;0.2666403353214264;1
52.5_16.5;BAUpDIACUT;2050;52.5;16.5;5776.7744140625;-9.048309657089249e-09;11.707127571105957;5015099904.0;0.3973306715488434;1
52.5_16.5;BAUpTHININT;2050;52.5;16.5;5888.5693359375;2.7280377068450434e-08;11.539100646972656;867236096.0;0.11173149198293686;1
52.5_16.5;BAUnTHININT;2050;52.5;16.5;5817.6650390625;1.657138959387794e-08;11.56210994720459;5901228544.0;0.12205296754837036;1
52.5_16.5;BAUppRESIDUAL;2050;52.5;16.5;5831.5341796875;2.1724220644614434e-08;11.578546524047852;2820773888.0;0.08018223196268082;1
52.5_16.5;BAUpRESIDUAL;2050;52.5;16.5;5822.34619140625;2.151405631423131e-08;11.566489219665527;2936689408.0;0.08054275065660477;1
52.5_16.5;BAUpN;2050;52.5;16.5;5873.1103515625;2.670393151049666e-08;11.685173988342285;641204672.0;0.12081490457057953;1
52.5_17.5;initial_state;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
52.5_17.5;BAU;2050;52.5;17.5;5814.59912109375;1.6770911770436214e-08;11.512883186340332;167151888.0;0.06425613164901733;1
52.5_17.5;BAUnDIACUT;2050;52.5;17.5;5735.41650390625;1.784689374062509e-08;11.486030578613281;167331200.0;0.06734924018383026;1
52.5_17.5;BAUpDIACUT;2050;52.5;17.5;5542.5234375;-8.235333837092185e-08;11.445772171020508;61064642560.0;0.6618610620498657;1
52.5_17.5;BAUpTHININT;2050;52.5;17.5;5793.8544921875;1.7306438948594405e-08;11.739194869995117;18236264.0;0.022984396666288376;1
52.5_17.5;BAUnTHININT;2050;52.5;17.5;5757.60791015625;1.1634363694668082e-08;11.451889991760254;2648905984.0;0.10789209604263306;1
52.5_17.5;BAUppRESIDUAL;2050;52.5;17.5;5767.9560546875;2.52005860623683e-09;11.317112922668457;6986307584.0;0.17423085868358612;1
52.5_17.5;BAUpRESIDUAL;2050;52.5;17.5;5764.814453125;3.034087425746179e-09;11.377622604370117;7039871488.0;0.2084483802318573;1
52.5_17.5;BAUpN;2050;52.5;17.5;5757.39208984375;1.3607789561831396e-08;11.230685234069824;166871856.0;0.06567836552858353;1
52.5_18.5;initial_state;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
52.5_18.5;BAU;2050;52.5;18.5;5397.3515625;1.1822526069238393e-08;8.45041275024414;13761169.0;0.014479922130703926;1
52.5_18.5;BAUnDIACUT;2050;52.5;18.5;5380.9287109375;1.5652283025247016e-08;8.308619499206543;148880832.0;0.037633709609508514;1
52.5_18.5;BAUpDIACUT;2050;52.5;18.5;5219.0537109375;1.0168434094737222e-08;8.518050193786621;13492396032.0;0.08063356578350067;1
52.5_18.5;BAUpTHININT;2050;52.5;18.5;5418.3564453125;-9.183742655238802e-11;8.247849464416504;3987922688.0;0.172134667634964;1
52.5_18.5;BAUnTHININT;2050;52.5;18.5;5377.23291015625;1.2608037280870121e-08;8.302141189575195;1506294272.0;0.08610840141773224;1
52.5_18.5;BAUppRESIDUAL;2050;52.5;18.5;5396.35302734375;8.706554588400195e-09;8.297262191772461;2623485952.0;0.16727833449840546;1
52.5_18.5;BAUpRESIDUAL;2050;52.5;18.5;5383.6533203125;8.170674803409383e-09;8.423657417297363;2335443712.0;0.15749511122703552;1
52.5_18.5;BAUpN;2050;52.5;18.5;5397.49853515625;9.236671871803992e-09;8.421589851379395;2299366400.0;0.037099894136190414;1
52.5_19.5;initial_state;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
52.5_19.5;BAU;2050;52.5;19.5;5496.13525390625;4.462920255576819e-09;8.791933059692383;4260475904.0;0.22436495125293732;1
52.5_19.5;BAUnDIACUT;2050;52.5;19.5;5468.6025390625;9.33180999140859e-09;8.834739685058594;2362116096.0;0.1549786925315857;1
52.5_19.5;BAUpDIACUT;2050;52.5;19.5;5455.3291015625;-1.4566605699428692e-08;8.548705101013184;1240240512.0;0.12206518650054932;1
52.5_19.5;BAUpTHININT;2050;52.5;19.5;5551.28173828125;1.0341840273042635e-08;8.777209281921387;295910784.0;0.04659603163599968;1
52.5_19.5;BAUnTHININT;2050;52.5;19.5;5463.52978515625;7.374114652236585e-09;8.703144073486328;2842801920.0;0.11349036544561386;1
52.5_19.5;BAUppRESIDUAL;2050;52.5;19.5;5501.3916015625;8.283830510436019e-09;8.6038818359375;530668576.0;0.07584478706121445;1
52.5_19.5;BAUpRESIDUAL;2050;52.5;19.5;5454.2314453125;5.038395478607072e-09;8.797718048095703;5169021952.0;0.2036224901676178;1
52.5_19.5;BAUpN;2050;52.5;19.5;5519.07373046875;8.322074585009887e-09;8.637687683105469;475476064.0;0.08556456863880157;1
52.5_20.5;initial_state;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
52.5_20.5;BAU;2050;52.5;20.5;5909.3330078125;1.6855562279260994e-08;11.63580322265625;486380448.0;0.1261405050754547;1
52.5_20.5;BAUnDIACUT;2050;52.5;20.5;5872.49755859375;9.415950685820462e-09;11.429744720458984;3464401152.0;0.11810529232025146;1
52.5_20.5;BAUpDIACUT;2050;52.5;20.5;5742.5078125;2.2559984103054376e-08;11.83012866973877;170685440.0;0.10060156881809235;1
52.5_20.5;BAUpTHININT;2050;52.5;20.5;5947.97705078125;1.5342056514100477e-08;11.670818328857422;855039168.0;0.03753310814499855;1
52.5_20.5;BAUnTHININT;2050;52.5;20.5;5885.40576171875;1.4138334059055069e-08;11.520400047302246;1708940928.0;0.06913129985332489;1
52.5_20.5;BAUppRESIDUAL;2050;52.5;20.5;5910.39794921875;1.0720815346587642e-08;11.677974700927734;9054849024.0;0.16892728209495544;1
52.5_20.5;BAUpRESIDUAL;2050;52.5;20.5;5873.3818359375;1.4117198077201465e-08;11.561209678649902;555783552.0;0.11414573341608047;1
52.5_20.5;BAUpN;2050;52.5;20.5;5905.439453125;1.6585739004426614e-08;11.600040435791016;484803040.0;0.12577761709690094;1
52.5_21.5;initial_state;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
52.5_21.5;BAU;2050;52.5;21.5;5336.7470703125;1.664943027890331e-08;11.923235893249512;8718006272.0;0.1776999980211258;1
52.5_21.5;BAUnDIACUT;2050;52.5;21.5;5282.7099609375;3.1122489474455506e-08;11.77392292022705;0.0;0.011369285173714161;1
52.5_21.5;BAUpDIACUT;2050;52.5;21.5;5143.39111328125;4.0896328101780455e-08;12.1056489944458;107869888.0;0.042639538645744324;1
52.5_21.5;BAUpTHININT;2050;52.5;21.5;5369.5087890625;2.4171693979724296e-08;11.966814994812012;287950080.0;0.020842622965574265;1
52.5_21.5;BAUnTHININT;2050;52.5;21.5;5301.119140625;2.505978713429613e-08;11.735726356506348;1654630656.0;0.06745610386133194;1
52.5_21.5;BAUppRESIDUAL;2050;52.5;21.5;5324.27197265625;2.0531933486722664e-08;11.801210403442383;4533827072.0;0.07200153172016144;1
52.5_21.5;BAUpRESIDUAL;2050;52.5;21.5;5304.6279296875;2.0834958647242274e-08;11.729456901550293;4935567360.0;0.07583577185869217;1
52.5_21.5;BAUpN;2050;52.5;21.5;5330.390625;2.2610002758938208e-08;11.826162338256836;3473397760.0;0.08329673111438751;1
52.5_22.5;initial_state;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
52.5_22.5;BAU;2050;52.5;22.5;5711.25830078125;1.804270510774586e-08;11.445314407348633;0.0;0.010771372355520725;1
52.5_22.5;BAUnDIACUT;2050;52.5;22.5;5693.4638671875;5.945512526750463e-09;11.319694519042969;4910533632.0;0.0862681120634079;1
52.5_22.5;BAUpDIACUT;2050;52.5;22.5;5619.43994140625;1.0491111979149537e-08;11.42193603515625;2413443328.0;0.12002690136432648;1
52.5_22.5;BAUpTHININT;2050;52.5;22.5;5796.4638671875;9.100070919032532e-09;11.49240493774414;1315341056.0;0.1968732327222824;1
52.5_22.5;BAUnTHININT;2050;52.5;22.5;5688.595703125;1.783543268629728e-08;11.352296829223633;242882672.0;0.04590962082147598;1
52.5_22.5;BAUppRESIDUAL;2050;52.5;22.5;5715.93896484375;1.827225126760368e-08;11.504718780517578;0.0;0.010214942507445812;1
52.5_22.5;BAUpRESIDUAL;2050;52.5;22.5;5709.921875;1.647951464178732e-08;11.430981636047363;0.0;0.010014220140874386;1
52.5_22.5;BAUpN;2050;52.5;22.5;5701.40234375;1.813014272045166e-08;11.4275541305542;0.0;0.011006700806319714;1
52.5_23.5;initial_state;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
52.5_23.5;BAU;2050;52.5;23.5;4983.9130859375;3.240682033833764e-08;11.455037117004395;152980192.0;0.04939934238791466;1
52.5_23.5;BAUnDIACUT;2050;52.5;23.5;4959.65771484375;1.270444904832857e-08;10.904560089111328;8054073344.0;0.17334124445915222;1
52.5_23.5;BAUpDIACUT;2050;52.5;23.5;4913.0283203125;2.4077650095932768e-08;11.136687278747559;1954454016.0;0.09417585283517838;1
52.5_23.5;BAUpTHININT;2050;52.5;23.5;5038.6123046875;2.8511838223721497e-08;11.199344635009766;1761791872.0;0.03849512338638306;1
52.5_23.5;BAUnTHININT;2050;52.5;23.5;4981.6279296875;2.3438170515532875e-08;11.029345512390137;4888933376.0;0.07788588106632233;1
52.5_23.5;BAUppRESIDUAL;2050;52.5;23.5;4962.224609375;2.051906555777805e-08;10.989656448364258;7183827968.0;0.09642518311738968;1
