id;regime;year;TOTAL_SOIL_c;NBP_pool_c;NPP;AREA
65.5_32.5;BAUpDIACUT;2050;3341.098388671875;-1.2226036183449196e-08;3.517584800720215;1
65.5_32.5;BAUpTHININT;2050;3389.35693359375;1.834839835623825e-08;3.5758845806121826;1
65.5_32.5;BAUnTHININT;2050;3391.627685546875;9.652060484199865e-09;3.524617910385132;1
65.5_32.5;BAUppRESIDUAL;2050;3395.576904296875;-1.276516758963453e-08;3.512504816055298;1
65.5_32.5;BAUpRESIDUAL;2050;3388.128173828125;-1.0364556324304885e-08;3.515733003616333;1
65.5_32.5;BAUpN;2050;3413.69921875;-7.088059028603766e-10;3.5528182983398438;1
66.5_13.5;initial_state;2020;0.0;0.0;0.0;1
66.5_13.5;BAU;2050;5834.39404296875;2.2496251528281164e-09;6.218138217926025;1
66.5_13.5;BAUnDIACUT;2050;5727.5830078125;-4.515396945237171e-10;5.981717586517334;1
66.5_13.5;BAUpDIACUT;2050;5628.1923828125;1.2519373315811322e-09;6.240341663360596;1
66.5_13.5;BAUpTHININT;2050;5803.4755859375;9.96798377173036e-09;6.311620235443115;1
66.5_13.5;BAUnTHININT;2050;5821.2041015625;9.861752303663707e-09;6.406520366668701;1
66.5_13.5;BAUppRESIDUAL;2050;5826.31005859375;-1.262403293011971e-09;6.2150044441223145;1
66.5_13.5;BAUpRESIDUAL;2050;5821.9658203125;2.660127673692614e-09;6.2300519943237305;1
66.5_13.5;BAUpN;2050;5833.64013671875;1.9375485660333425e-09;6.2947797775268555;1
66.5_14.5;initial_state;2020;0.0;0.0;0.0;1
66.5_14.5;BAU;2050;3150.940673828125;-4.049284463292224e-09;3.142362594604492;1
66.5_14.5;BAUnDIACUT;2050;3096.96728515625;4.864784131086708e-09;3.1615123748779297;1
66.5_14.5;BAUpDIACUT;2050;2853.77880859375;4.38247393930169e-09;2.4435579776763916;1
66.5_14.5;BAUpTHININT;2050;3153.03369140625;4.1755426893885783e-10;3.170302152633667;1
66.5_14.5;BAUnTHININT;2050;3163.526611328125;3.110650625970379e-10;3.1958587169647217;1
66.5_14.5;BAUppRESIDUAL;2050;3160.338623046875;-1.5478004433688852e-09;3.180300712585449;1
66.5_14.5;BAUpRESIDUAL;2050;3150.214111328125;2.9681241908718903e-09;3.2087762355804443;1
66.5_14.5;BAUpN;2050;3156.303955078125;-1.8369372689619468e-09;3.17484188079834;1
66.5_15.5;initial_state;2020;0.0;0.0;0.0;1
66.5_15.5;BAU;2050;3476.59375;-3.192113462446855e-09;3.0102975368499756;1
66.5_15.5;BAUnDIACUT;2050;3467.66943359375;-7.740937668643255e-09;2.7711660861968994;1
66.5_15.5;BAUpDIACUT;2050;3492.48876953125;7.502575449791493e-09;3.033439874649048;1
66.5_15.5;BAUpTHININT;2050;3478.38134765625;2.2164377000422064e-09;3.0275228023529053;1
66.5_15.5;BAUnTHININT;2050;3483.01171875;-1.539595340105393e-09;3.0486559867858887;1
66.5_15.5;BAUppRESIDUAL;2050;3476.802734375;1.6933251467676769e-09;3.0067315101623535;1
66.5_15.5;BAUpRESIDUAL;2050;3479.29931640625;-2.4518667096629088e-09;3.045994758605957;1
66.5_15.5;BAUpN;2050;3498.627685546875;1.0100384972844267e-09;3.0669798851013184;1
66.5_16.5;initial_state;2020;0.0;0.0;0.0;1
66.5_16.5;BAU;2050;4212.130859375;6.6536869347544325e-09;3.655716896057129;1
66.5_16.5;BAUnDIACUT;2050;4216.48828125;2.676645571852987e-10;3.5931754112243652;1
66.5_16.5;BAUpDIACUT;2050;4230.62744140625;-5.671371372528711e-09;3.5846314430236816;1
66.5_16.5;BAUpTHININT;2050;4185.4443359375;-5.725018237257018e-09;3.589165687561035;1
66.5_16.5;BAUnTHININT;2050;4211.43212890625;5.725707463710705e-09;3.5621345043182373;1
66.5_16.5;BAUppRESIDUAL;2050;4213.51416015625;4.774364459336766e-09;3.647639036178589;1
66.5_16.5;BAUpRESIDUAL;2050;4210.86865234375;3.454303953986937e-09;3.6144213676452637;1
66.5_16.5;BAUpN;2050;4146.6484375;-4.0348417940094805e-09;3.232819080352783;1
66.5_17.5;initial_state;2020;0.0;0.0;0.0;1
66.5_17.5;BAU;2050;4860.48974609375;6.123964446658192e-09;4.003499507904053;1
66.5_17.5;BAUnDIACUT;2050;4803.2119140625;3.040002471976777e-09;3.8365447521209717;1
66.5_17.5;BAUpDIACUT;2050;4822.04541015625;4.328433611533455e-09;4.034256935119629;1
66.5_17.5;BAUpTHININT;2050;4855.18017578125;8.047706501201901e-09;3.991636037826538;1
66.5_17.5;BAUnTHININT;2050;4895.56396484375;-4.327837643813837e-09;3.972038507461548;1
66.5_17.5;BAUppRESIDUAL;2050;4856.41796875;5.918673995353174e-09;3.9679582118988037;1
66.5_17.5;BAUpRESIDUAL;2050;4842.93701171875;5.732310626171966e-09;3.925853967666626;1
66.5_17.5;BAUpN;2050;4859.96435546875;5.77559999825894e-09;3.991608142852783;1
66.5_18.5;initial_state;2020;0.0;0.0;0.0;1
66.5_18.5;BAU;2050;3665.430908203125;-2.583866010041902e-09;3.1158335208892822;1
66.5_18.5;BAUnDIACUT;2050;3653.190673828125;5.8808917735575506e-09;3.1867308616638184;1
66.5_18.5;BAUpDIACUT;2050;3291.69384765625;-2.8987745537278897e-09;2.0299949645996094;1
66.5_18.5;BAUpTHININT;2050;3650.888671875;4.7159121052686714e-09;3.143756628036499;1
66.5_18.5;BAUnTHININT;2050;3684.43115234375;-3.0476905443777014e-09;3.2629342079162598;1
66.5_18.5;BAUppRESIDUAL;2050;3662.18310546875;7.271288904320272e-09;3.1959285736083984;1
66.5_18.5;BAUpRESIDUAL;2050;3662.47119140625;-2.2766690754849606e-09;3.0904016494750977;1
66.5_18.5;BAUpN;2050;3682.50146484375;1.5098606809260673e-09;3.2298076152801514;1
66.5_19.5;initial_state;2020;0.0;0.0;0.0;1
66.5_19.5;BAU;2050;3474.9453125;3.8198100238417965e-10;3.107088088989258;1
66.5_19.5;BAUnDIACUT;2050;3413.028076171875;5.643141065547752e-09;3.180164098739624;1
66.5_19.5;BAUpDIACUT;2050;3390.73046875;-1.2200796817296578e-08;2.7559869289398193;1
66.5_19.5;BAUpTHININT;2050;3494.337890625;-3.5769807116281527e-09;3.186800003051758;1
66.5_19.5;BAUnTHININT;2050;3487.806640625;-2.2865642712588397e-09;3.146778106689453;1
66.5_19.5;BAUppRESIDUAL;2050;3492.823486328125;7.527205525548197e-10;3.085059404373169;1
66.5_19.5;BAUpRESIDUAL;2050;3470.50439453125;1.3432310819183613e-09;3.1299171447753906;1
66.5_19.5;BAUpN;2050;3473.671875;4.72021088882002e-10;3.088993787765503;1
66.5_20.5;initial_state;2020;0.0;0.0;0.0;1
66.5_20.5;BAU;2050;3365.149169921875;4.485014581945279e-09;3.249748706817627;1
66.5_20.5;BAUnDIACUT;2050;3361.34326171875;1.0797156946296127e-08;3.282700777053833;1
66.5_20.5;BAUpDIACUT;2050;3298.380126953125;-7.249832378874999e-08;3.1776914596557617;1
66.5_20.5;BAUpTHININT;2050;3353.77880859375;-1.2607246802076588e-08;3.2597639560699463;1
66.5_20.5;BAUnTHININT;2050;3371.844482421875;-2.1471007194406866e-09;3.257267475128174;1
66.5_20.5;BAUppRESIDUAL;2050;3377.34375;3.340527854334141e-09;3.286022186279297;1
66.5_20.5;BAUpRESIDUAL;2050;3359.15234375;4.486348625931669e-09;3.2498412132263184;1
66.5_20.5;BAUpN;2050;3363.74951171875;4.748961668354923e-09;3.239504337310791;1
66.5_21.5;initial_state;2020;0.0;0.0;0.0;1
66.5_21.5;BAU;2050;4265.2451171875;-2.302660728759065e-09;4.386974334716797;1
66.5_21.5;BAUnDIACUT;2050;4183.65185546875;-7.304687965614676e-09;4.315112113952637;1
66.5_21.5;BAUpDIACUT;2050;4155.36572265625;-2.3378762037395973e-08;3.993237257003784;1
66.5_21.5;BAUpTHININT;2050;4247.80712890625;9.204088158298873e-09;4.371761322021484;1
66.5_21.5;BAUnTHININT;2050;4246.63671875;2.373827578949772e-09;4.2693281173706055;1
66.5_21.5;BAUppRESIDUAL;2050;4251.94287109375;6.185421064230923e-09;4.353163242340088;1
66.5_21.5;BAUpRESIDUAL;2050;4247.98876953125;5.732569974270518e-09;4.352397918701172;1
66.5_21.5;BAUpN;2050;4262.10693359375;-8.233637105448111e-10;4.394192695617676;1
66.5_22.5;initial_state;2020;0.0;0.0;0.0;1
66.5_22.5;BAU;2050;4418.9365234375;2.858502101688032e-09;4.648890018463135;1
66.5_22.5;BAUnDIACUT;2050;4390.41259765625;1.186009157549961e-08;4.538575172424316;1
66.5_22.5;BAUpDIACUT;2050;4337.89208984375;-2.2264165622232213e-08;4.459588050842285;1
66.5_22.5;BAUpTHININT;2050;4402.3525390625;-4.851264279182033e-09;4.616002082824707;1
66.5_22.5;BAUnTHININT;2050;4420.9140625;2.268623289225502e-09;4.6107683181762695;1
66.5_22.5;BAUppRESIDUAL;2050;4402.0869140625;-1.809416505516026e-09;4.571392059326172;1
66.5_22.5;BAUpRESIDUAL;2050;4404.02734375;-6.017747189446254e-09;4.563652992248535;1
66.5_22.5;BAUpN;2050;4402.328125;-7.812972491194614e-10;4.56209659576416;1
66.5_23.5;initial_state;2020;0.0;0.0;0.0;1
66.5_23.5;BAU;2050;4120.27197265625;8.436611409479156e-09;4.632017612457275;1
66.5_23.5;BAUnDIACUT;2050;4147.37646484375;1.4814689031084072e-08;4.666036128997803;1
66.5_23.5;BAUpDIACUT;2050;4108.3134765625;-3.794187719563524e-08;4.427648544311523;1
66.5_23.5;BAUpTHININT;2050;4126.86474609375;-2.7526467771821217e-09;4.615158557891846;1
66.5_23.5;BAUnTHININT;2050;4133.7451171875;1.2901364421225026e-09;4.583674907684326;1
66.5_23.5;BAUppRESIDUAL;2050;4132.1259765625;3.7700869093271194e-09;4.653645992279053;1
66.5_23.5;BAUpRESIDUAL;2050;4120.9619140625;1.2004619520666893e-08;4.63212251663208;1
66.5_23.5;BAUpN;2050;4131.9267578125;6.55749499145486e-09;4.642887592315674;1
66.5_24.5;initial_state;2020;0.0;0.0;0.0;1
66.5_24.5;BAU;2050;4514.88623046875;5.443161477103331e-09;4.170114517211914;1
66.5_24.5;BAUnDIACUT;2050;4533.310546875;4.721192325973789e-09;4.250075817108154;1
66.5_24.5;BAUpDIACUT;2050;4373.03955078125;1.1910593400443759e-08;4.005005359649658;1
66.5_24.5;BAUpTHININT;2050;4530.0751953125;8.255706340776214e-09;4.197546005249023;1
66.5_24.5;BAUnTHININT;2050;4519.63818359375;-2.5425017646796277e-09;4.166909217834473;1
66.5_24.5;BAUppRESIDUAL;2050;4513.9482421875;5.478241860146227e-09;4.185340404510498;1
66.5_24.5;BAUpRESIDUAL;2050;4510.7177734375;5.597231123033453e-09;4.175844669342041;1
66.5_24.5;BAUpN;2050;4514.69091796875;5.604403163772531e-09;4.186713218688965;1
66.5_25.5;initial_state;2020;0.0;0.0;0.0;1
66.5_25.5;BAU;2050;4606.98193359375;-6.042825795304907e-09;4.718780517578125;1
66.5_25.5;BAUnDIACUT;2050;4613.77978515625;1.5774640260701744e-08;4.860343933105469;1
66.5_25.5;BAUpDIACUT;2050;4488.005859375;-3.0521917437908996e-08;4.45189905166626;1
66.5_25.5;BAUpTHININT;2050;4625.09033203125;5.539261049847255e-09;4.910793304443359;1
66.5_25.5;BAUnTHININT;2050;4614.95068359375;1.2950521766086354e-09;4.755889415740967;1
66.5_25.5;BAUppRESIDUAL;2050;4606.3134765625;-6.5251581915504175e-09;4.74657678604126;1
66.5_25.5;BAUpRESIDUAL;2050;4616.39697265625;-5.259170432481142e-09;4.824897766113281;1
66.5_25.5;BAUpN;2050;4610.68603515625;-5.790595558607947e-09;4.790186882019043;1
66.5_26.5;initial_state;2020;0.0;0.0;0.0;1
66.5_26.5;BAU;2050;3777.469482421875;1.3847619051432503e-08;3.088362693786621;1
66.5_26.5;BAUnDIACUT;2050;3782.274169921875;1.4356282385108443e-08;3.156827449798584;1
66.5_26.5;BAUpDIACUT;2050;3706.90380859375;1.5519391993734644e-08;2.753359079360962;1
66.5_26.5;BAUpTHININT;2050;3789.95947265625;1.3860712577695722e-08;3.029301881790161;1
66.5_26.5;BAUnTHININT;2050;3782.94921875;5.489253940282879e-09;3.075127124786377;1
66.5_26.5;BAUppRESIDUAL;2050;3784.175048828125;1.2845477570522235e-08;3.0840272903442383;1
66.5_26.5;BAUpRESIDUAL;2050;3771.885986328125;1.2394081316813299e-08;3.0204827785491943;1
66.5_26.5;BAUpN;2050;3802.86669921875;1.2562378692848597e-08;3.0174474716186523;1
66.5_27.5;initial_state;2020;0.0;0.0;0.0;1
66.5_27.5;BAU;2050;4927.482421875;-3.2960965068440373e-09;4.491115570068359;1
66.5_27.5;BAUnDIACUT;2050;4930.8369140625;1.3602075910057465e-08;4.40850305557251;1
66.5_27.5;BAUpDIACUT;2050;4811.32177734375;-2.073201699204219e-08;4.246374130249023;1
66.5_27.5;BAUpTHININT;2050;4915.78125;1.4732381536930461e-08;4.5080976486206055;1
66.5_27.5;BAUnTHININT;2050;4943.134765625;1.4288428218378613e-08;4.475015163421631;1
66.5_27.5;BAUppRESIDUAL;2050;4932.31494140625;-2.8682514141564752e-09;4.499706745147705;1
66.5_27.5;BAUpRESIDUAL;2050;4926.72998046875;-2.696528333956394e-09;4.494922637939453;1
66.5_27.5;BAUpN;2050;4927.31494140625;-3.3576390556788738e-09;4.512641429901123;1
66.5_28.5;initial_state;2020;0.0;0.0;0.0;1
66.5_28.5;BAU;2050;5267.2392578125;7.715172500866174e-09;4.079814910888672;1
66.5_28.5;BAUnDIACUT;2050;5271.7109375;8.238790982773025e-09;4.095726013183594;1
66.5_28.5;BAUpDIACUT;2050;5186.07763671875;1.3427857936676446e-08;4.094549179077148;1
66.5_28.5;BAUpTHININT;2050;5275.47412109375;-3.915033630619291e-09;4.098034858703613;1
66.5_28.5;BAUnTHININT;2050;5270.0478515625;9.205558981761897e-09;4.095036506652832;1
66.5_28.5;BAUppRESIDUAL;2050;5267.69677734375;7.696007386925885e-09;4.079442977905273;1
66.5_28.5;BAUpRESIDUAL;2050;5261.4853515625;7.68017738295157e-09;4.086745738983154;1
66.5_28.5;BAUpN;2050;5267.42724609375;7.66157448595095e-09;4.082164764404297;1
